STEM,ORIGINAL,TRANSLATED,VALENCE,AROUSAL,DOMINANCE
закон,law,закон,0.740,0.590,0.815
бесправ,lawlessness,бесправие,0.156,0.804,0.509
судебный исполнител,lawman,судебный исполнитель,0.510,0.523,0.786
лужайк,lawn,лужайка,0.686,0.153,0.192
газонокосилк,lawnmower,газонокосилка,0.480,0.531,0.355
судебный процесс,lawsuit,судебный процесс,0.219,0.794,0.611
рыхл,lax,рыхлый,0.430,0.401,0.300
прокладыва,lay,прокладывать,0.521,0.336,0.491
Layaway,layaway,Layaway,0.429,0.510,0.451
сло,layer,слой,0.500,0.208,0.366
слоист,layered,слоистый,0.571,0.306,0.436
неспециалист,layman,неспециалист,0.531,0.339,0.424
остановк,layover,остановка,0.520,0.355,0.500
лен,laziness,лень,0.271,0.240,0.132
ленив,lazy,ленивый,0.392,0.264,0.096
луг,lea,луг,0.583,0.294,0.358
вест,lead,вести,0.323,0.657,0.455
освинцова,leaded,освинцованный,0.439,0.625,0.595
лидер,leader,лидер,0.833,0.582,0.926
ведущ,leading,ведущий,0.823,0.698,0.954
привод,leads,приводит,0.530,0.471,0.615
лист,leaf,лист,0.583,0.156,0.294
лиг,league,лига,0.656,0.340,0.462
утечк,leak,утечка,0.378,0.833,0.520
неплотн,leaky,неплотный,0.170,0.686,0.288
опира,lean,опираться,0.734,0.353,0.438
прислон,leaned,прислонился,0.570,0.373,0.490
склонност,leaning,склонность,0.480,0.409,0.352
прыжок,leap,прыжок,0.750,0.663,0.667
уч,learn,учить,0.833,0.643,0.829
науч,learned,научился,0.704,0.462,0.543
обучен,learning,обучение,0.833,0.588,0.574
аренд,lease,аренда,0.520,0.463,0.545
привяз,leash,привязь,0.320,0.347,0.427
кож,leather,кожа,0.510,0.324,0.341
кожист,leathery,кожистые,0.418,0.471,0.411
оставь меня в пок,leavemealone,Оставь меня в покое,0.240,0.472,0.402
лекц,lecture,лекция,0.594,0.462,0.737
преподавател,lecturer,преподаватель,0.677,0.549,0.736
уступ,ledge,уступ,0.406,0.235,0.339
гроссбух,ledger,гроссбух,0.510,0.362,0.609
подветрен,lee,подветренный,0.510,0.269,0.296
пиявк,leech,пиявка,0.250,0.623,0.268
подозрительн,leery,подозрительный,0.337,0.640,0.410
остав,left,оставил,0.354,0.370,0.361
пережиток,leftover,пережиток,0.490,0.460,0.222
объедк,leftovers,объедки,0.219,0.350,0.116
левш,lefty,левша,0.490,0.406,0.379
правов,legal,правовой,0.653,0.387,0.887
легальн,legality,легальность,0.765,0.343,0.713
легализова,legalize,легализовать,0.510,0.460,0.818
легенд,legend,легенда,0.837,0.519,0.750
легендарн,legendary,легендарный,0.857,0.537,0.863
легион,legion,легион,0.469,0.570,0.852
законодательствова,legislate,законодательствовать,0.571,0.582,0.736
законодательств,legislation,законодательство,0.531,0.418,0.808
законодательн,legislative,законодательные,0.633,0.365,0.800
законодател,legislator,законодатель,0.490,0.580,0.877
законодательная власт,legislature,законодательная власть,0.540,0.435,0.698
лег,lego,Лего,0.600,0.294,0.189
досуг,leisure,досуг,0.631,0.429,0.421
не спеш,leisurely,не спеша,0.806,0.250,0.367
лемм,lemma,лемма,0.530,0.284,0.391
лимон,lemon,лимон,0.596,0.317,0.316
лимонад,lemonade,лимонад,0.661,0.287,0.412
давать в долг,lend,давать в долг,0.520,0.461,0.508
длин,length,длина,0.479,0.308,0.533
удлиня,lengthen,удлинять,0.619,0.481,0.566
вдол,lengthwise,вдоль,0.571,0.470,0.528
леопард,leopard,леопард,0.542,0.755,0.611
трик,leotard,трико,0.510,0.429,0.391
прокажен,leper,прокаженный,0.075,0.589,0.206
проказ,leprosy,проказа,0.130,0.670,0.349
лесбиянк,lesbian,лесбиянка,0.385,0.660,0.415
лесбиянств,lesbianism,лесбиянство,0.327,0.725,0.440
меньш,less,Меньше,0.265,0.240,0.115
лизингополучател,lessee,лизингополучатель,0.417,0.474,0.595
уменьша,lessen,уменьшать,0.235,0.284,0.255
убавлен,lessening,убавление,0.375,0.300,0.277
урок,lesson,урок,0.704,0.577,0.593
летальн,lethal,летальный,0.156,0.800,0.745
летаргическ,lethargic,летаргический,0.214,0.245,0.375
вялост,lethargy,вялость,0.194,0.302,0.316
письм,letter,письмо,0.635,0.279,0.342
литерн,lettered,литерный,0.542,0.361,0.482
печатный бланк,letterhead,печатный бланк,0.450,0.316,0.462
буквенное обозначен,lettering,буквенное обозначение,0.541,0.180,0.431
букв,letters,буквы,0.663,0.327,0.364
салат,lettuce,салат,0.594,0.163,0.291
лейкем,leukemia,лейкемия,0.094,0.572,0.351
уровен,level,уровень,0.622,0.277,0.491
рычаг,lever,рычаг,0.400,0.343,0.402
левередж,leverage,левередж,0.459,0.500,0.629
поднима,levitate,поднимать,0.561,0.598,0.551
обложен,levy,обложение,0.438,0.420,0.491
лексикон,lexicon,лексикон,0.561,0.463,0.615
ответствен,liability,ответственность,0.646,0.500,0.802
подлежа,liable,подлежащий,0.656,0.519,0.821
лжец,liar,лжец,0.042,0.606,0.339
навет,libel,навет,0.128,0.694,0.403
либеральн,liberal,либеральный,0.565,0.565,0.755
либерализм,liberalism,либерализм,0.562,0.712,0.750
освободительн,liberating,освободительный,0.915,0.620,0.745
либид,libido,либидо,0.770,0.602,0.571
библиотекар,librarian,библиотекарь,0.625,0.135,0.509
библиотек,library,библиотека,0.776,0.122,0.549
либретт,libretto,либретто,0.612,0.328,0.406
вши,lice,вши,0.133,0.500,0.194
лиценз,license,лицензия,0.500,0.394,0.702
облизыван,lick,облизывание,0.470,0.482,0.330
лакриц,licorice,лакрица,0.677,0.310,0.400
крышк,lid,крышка,0.490,0.189,0.255
лож,lie,ложь,0.130,0.725,0.272
васса,liege,вассал,0.479,0.426,0.452
право удержан,lien,право удержания,0.396,0.580,0.441
мест,lieu,место,0.427,0.410,0.312
лейтенант,lieutenant,лейтенант,0.594,0.612,0.920
жизн,life,жизнь,0.918,0.615,0.824
спасательная шлюпк,lifeboat,спасательная шлюпка,0.724,0.425,0.533
спасател,lifeguard,Спасатель,0.870,0.606,0.786
жизнь хорош,lifeisgood,жизнь хороша,0.812,0.575,0.611
безжизнен,lifeless,безжизненный,0.042,0.333,0.163
как жив,lifelike,как живой,0.776,0.567,0.765
спасательный трос,lifeline,спасательный трос,0.735,0.552,0.496
пожизнен,lifelong,пожизненный,0.823,0.330,0.640
приговоренный к пожизненному заключен,lifer,приговоренный к пожизненному заключению,0.427,0.519,0.398
стиль жизн,lifestyle,Стиль жизни,0.750,0.472,0.645
жизнь - отст,lifesucks,жизнь - отстой,0.167,0.637,0.377
продолжительность жизн,lifetime,продолжительность жизни,0.816,0.559,0.736
поднят,lifted,поднятый,0.714,0.441,0.657
взлет,liftoff,взлет,0.531,0.667,0.588
связк,ligament,связка,0.490,0.410,0.510
перевязк,ligation,перевязка,0.344,0.423,0.396
лигатур,ligature,лигатура,0.478,0.430,0.447
световой год,light year,световой год,0.719,0.425,0.593
лампочк,lightbulb,лампочка,0.573,0.255,0.302
светлет,lighten,светлеть,0.688,0.438,0.362
осветительные прибор,lighting,осветительные приборы,0.765,0.440,0.750
расторопн,lightness,расторопность,0.794,0.360,0.526
молн,lightning,молния,0.429,0.683,0.595
огн,lights,огни,0.750,0.480,0.575
как,like,как,0.719,0.353,0.446
вероятн,likelihood,вероятность,0.760,0.469,0.542
сходств,likeness,сходство,0.688,0.410,0.561
такж,likewise,также,0.651,0.217,0.312
симпат,liking,симпатия,0.963,0.604,0.589
сирен,lilac,сирень,0.688,0.180,0.357
лил,lily,Лили,0.640,0.245,0.263
податлив,limber,податливый,0.688,0.729,0.673
лайм,lime,лайм,0.594,0.240,0.415
центр вниман,limelight,центр внимания,0.667,0.639,0.694
известняк,limestone,известняк,0.602,0.323,0.381
англичанин,limey,англичанин,0.469,0.347,0.415
предел,limit,предел,0.427,0.453,0.500
безграничн,limitless,Безграничный,0.688,0.574,0.655
лимузин,limo,лимузин,0.760,0.367,0.667
прихрамыва,limp,прихрамывать,0.393,0.440,0.172
лин,lin,лин,0.416,0.362,0.343
прям,lineal,прямой,0.521,0.170,0.474
линейн,linear,линейный,0.646,0.250,0.472
подкладк,lined,подкладке,0.438,0.367,0.424
бел,linen,белье,0.656,0.323,0.286
футеровк,liner,футеровка,0.469,0.396,0.400
расстановк,lineup,расстановка,0.635,0.427,0.638
дамское бел,lingerie,Дамское белье,0.543,0.463,0.308
затяжн,lingering,затяжной,0.630,0.643,0.667
язычн,lingual,язычный,0.500,0.457,0.315
лингвин,linguini,лингвини,0.625,0.338,0.355
лингвист,linguist,лингвист,0.583,0.330,0.634
лингвистическ,linguistic,лингвистический,0.646,0.351,0.618
лингвистик,linguistics,лингвистика,0.552,0.390,0.618
линолеум,linoleum,линолеум,0.510,0.378,0.402
корп,lint,корпия,0.388,0.173,0.214
лев,lion,лев,0.532,0.717,0.682
губ,lip,губа,0.541,0.348,0.443
липосакц,liposuction,липосакция,0.292,0.684,0.464
губная помад,lipstick,губная помада,0.653,0.429,0.306
сжижен,liquefaction,сжижение,0.449,0.622,0.535
ликер,liqueur,ликер,0.670,0.612,0.389
ликвидирова,liquidate,ликвидировать,0.327,0.654,0.664
ликвидац,liquidation,ликвидация,0.417,0.625,0.649
ликвидатор,liquidator,ликвидатор,0.354,0.663,0.750
ликвидн,liquidity,ликвидность,0.688,0.529,0.534
